1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1286,5715,11572,6514,6484,9522,4936,1663,4030,5062,909,341,2,0,38,427,749,465,1534,595,620,762,400,223,159,106,2942,1138,1217,4660,45,51,714,376,411,3200,12960,1465,811,1601,45,1170,1189,274,116,88,2853,1105,67,1182,4332,2361,39,128,140,212,1,0,181,590,66,57,1140,138,4358,2529,257,185,1287,943,1797,2036
1175,5732,11690,6463,6439,9672,4894,1409,3873,4970,814,293,2,0,40,491,867,382,1284,544,665,979,563,172,147,132,2772,1212,1207,4477,36,52,642,434,437,3834,13059,1475,802,1613,39,1148,1165,255,109,89,2706,1433,55,1181,4199,2349,32,144,139,185,1,0,171,605,63,69,1031,138,4421,2556,254,200,1311,991,1833,2047
581,5648,11555,6271,6180,9535,4991,933,3771,4908,757,283,4,0,32,531,821,296,530,666,677,940,655,282,199,126,2697,1161,1163,4549,99,36,653,358,529,3265,12686,1497,812,1452,27,1121,1114,243,99,84,2542,1039,32,1101,4131,2298,18,85,137,177,2,0,150,576,58,52,1053,110,4330,2519,221,159,1251,960,1818,2003
777,5253,11589,5987,5951,9642,4939,1270,3631,4846,760,305,3,0,38,517,673,264,686,630,610,818,509,218,204,173,2535,1365,1191,4571,101,22,610,307,463,2915,12562,1472,793,1244,25,997,989,273,106,87,2550,1221,29,1093,4056,2120,14,39,169,167,3,4,145,578,69,51,956,94,4327,2537,232,170,1234,907,1751,2109
1011,5138,11562,6259,6223,9353,4852,1934,3621,4731,681,323,2,0,52,420,799,392,1097,663,582,836,415,227,202,97,2377,1199,1368,4580,97,26,522,358,385,1866,12338,1449,743,1318,30,927,972,246,95,85,2452,1303,30,1033,3953,2126,27,161,102,142,3,2,190,580,65,54,680,150,4898,2562,246,220,1281,906,1717,2416
497,5043,11712,5922,6037,9038,4927,2172,3611,4628,492,365,0,0,78,201,806,405,622,623,654,1334,334,212,181,103,2278,1165,1183,4563,107,22,520,399,471,1776,11683,1314,742,1337,29,859,908,250,91,93,2340,1482,29,1032,3776,2180,21,197,118,169,2,1,184,593,61,57,173,168,6022,2589,252,282,1263,857,1760,2645
425,5199,11417,5784,5834,8758,4974,2085,3656,4573,449,373,0,0,74,98,733,356,458,648,683,1277,330,223,189,162,2167,1128,1108,4584,23,33,526,446,570,1938,11527,1276,759,1124,30,803,864,265,96,96,2198,1328,32,977,3693,2118,13,209,109,156,6,0,146,583,67,51,153,195,5879,2560,291,324,1248,859,1709,2497
452,5056,11636,5794,5581,9117,5038,2137,3805,4525,500,362,0,0,80,107,720,315,446,631,668,1071,357,201,301,233,2161,1128,1061,4477,36,23,447,289,563,1195,11533,1339,761,1029,18,828,902,241,86,95,2231,1310,28,975,3799,2041,18,141,122,282,1,0,156,492,68,48,232,134,6098,2637,313,363,1214,686,1822,2560
436,4933,11598,5344,5308,8933,4993,2180,3494,4573,492,402,0,0,74,116,636,239,477,620,607,1250,365,189,171,143,2245,1214,1058,4496,46,20,598,318,443,895,11522,1346,749,1027,16,785,858,245,88,89,2228,1405,28,996,3835,2017,28,177,113,168,2,0,182,501,52,48,220,164,6252,2547,247,376,1244,641,1817,2556
483,4843,11340,5412,5372,8824,4859,2000,3613,4650,465,384,0,0,85,110,658,215,566,511,595,1130,342,213,197,133,2148,1186,1115,4528,77,20,661,404,494,658,11313,1417,713,932,30,812,881,232,91,94,2151,1305,55,980,3732,2077,14,155,119,213,1,0,181,549,64,52,249,154,6120,2447,264,435,1208,652,1740,2404
471,4945,11732,5299,5341,9432,4918,2018,3473,4358,445,358,1,0,62,110,507,285,442,595,545,1106,369,172,136,149,2116,1095,1078,4562,62,21,581,270,612,596,11546,1370,707,877,23,802,834,229,96,87,2092,1084,27,994,4205,2042,15,42,165,99,2,0,168,513,59,45,296,201,5792,2623,307,414,1215,652,1840,2394
774,4911,11565,5401,5289,9184,4745,2166,3396,4359,486,335,1,0,61,139,566,333,507,575,516,1149,371,181,130,176,2278,1210,1113,4618,27,29,529,367,517,615,11513,1357,697,1067,12,756,816,229,93,94,2314,1319,26,1028,4327,2112,72,82,260,237,5,0,171,473,65,31,439,144,5526,2716,283,393,1303,649,1758,2376
418,4984,10760,5507,5326,9109,4875,935,3429,4402,671,284,1,0,52,403,456,281,364,618,561,868,478,164,168,141,2286,1178,1117,4671,9,29,561,315,505,1957,11993,1251,715,890,13,765,862,220,90,95,2346,1026,21,1000,3979,2004,40,41,147,123,1,0,162,460,66,35,1090,93,4418,2718,235,217,1200,612,1715,1892
380,4875,10477,5399,5423,9039,4727,710,3313,4364,604,327,1,0,40,341,464,296,385,536,770,860,457,164,177,131,2391,1080,1264,4637,10,19,454,414,507,1732,11897,1302,684,891,15,748,811,217,90,87,2249,805,21,993,3780,2066,37,38,85,117,0,0,202,448,63,27,1017,106,4189,2438,212,225,1192,647,1681,1888
355,4970,10391,5390,5432,9040,4822,654,3279,4301,628,296,1,0,68,342,517,230,344,614,668,939,524,220,149,161,2368,1004,1236,4653,20,20,447,349,586,1817,11734,1370,666,894,13,719,793,210,90,88,2292,571,21,1049,3785,1961,106,48,105,93,1,0,201,432,63,27,1072,73,4036,2596,229,211,1226,659,1686,1833
383,4619,10677,5743,5307,9067,4618,710,3357,4327,523,294,1,0,69,223,533,160,231,557,724,955,536,219,178,133,2296,984,1518,4655,11,20,513,349,493,1930,11959,1439,628,885,13,683,787,208,86,96,2218,586,24,1227,3732,1953,40,35,110,128,1,0,199,469,55,26,1018,62,3966,2532,252,295,1206,620,1722,1835
356,4482,10970,5542,4947,9211,4652,796,3408,4424,508,303,3,0,74,248,466,135,245,569,687,985,491,236,153,107,2159,952,1453,4706,11,59,524,341,466,1829,12165,1390,695,844,78,652,733,224,81,100,2270,902,23,1134,3830,1933,69,37,75,87,1,0,183,396,51,25,847,102,4535,2583,327,290,1210,608,1696,2097
455,4471,11082,5260,4971,9430,4534,720,3062,4339,532,296,1,0,70,311,458,157,391,548,420,783,433,194,135,104,2066,964,1073,4725,8,81,464,363,450,1672,12381,1355,711,777,92,644,714,215,106,89,2113,907,26,1124,3913,1834,9,12,78,117,2,0,169,371,55,28,849,160,4420,2612,271,218,1193,581,1697,2118
356,4511,10635,5098,4936,9337,4748,588,2846,4126,515,302,1,0,42,244,504,179,318,746,491,809,542,152,84,119,2082,965,1083,4562,12,117,477,361,398,1587,11958,1260,726,779,28,656,743,241,116,94,2191,520,39,872,3813,1761,8,6,90,103,1,0,157,385,52,23,828,160,4104,2655,251,267,1192,575,1628,2037
344,4529,10639,4959,4844,8933,4429,675,2738,4020,549,367,1,0,34,441,519,219,231,879,448,865,554,155,112,102,2123,963,1012,4527,9,113,484,382,344,1601,11692,1151,679,733,28,692,794,206,111,93,2192,724,82,905,3603,1697,8,5,91,117,5,0,150,377,77,29,978,159,3914,2444,250,308,1138,609,1524,1830
394,4284,10297,5023,4835,8963,4303,661,2743,3833,552,376,1,0,29,286,458,222,239,795,605,754,469,162,152,156,2218,990,994,4571,13,102,502,426,413,1597,11609,1191,654,704,32,638,730,211,114,90,2119,793,66,851,3606,1658,11,6,119,112,3,0,160,360,63,27,832,106,3795,2427,259,231,1147,578,1504,1737
349,4099,10513,4851,4504,8963,4381,658,2665,3884,516,325,1,0,33,222,446,314,368,788,605,917,495,154,115,148,2133,1000,1053,4349,19,51,553,379,420,1654,11628,1354,696,702,37,622,712,226,108,86,2025,747,28,853,3505,1498,5,6,84,54,3,0,156,378,64,29,820,105,4089,2310,229,110,1127,541,1440,2008
313,3896,10310,4410,4189,8654,4138,684,2515,3914,571,335,1,0,18,207,431,298,397,779,460,838,539,141,144,129,2121,1030,990,4459,30,55,471,308,353,1632,11681,1186,682,670,38,624,686,215,102,85,2226,700,29,859,3305,1558,7,11,94,124,1,0,164,373,57,36,798,148,3954,2510,284,162,1130,612,1529,2050
377,3781,10163,4337,4085,8486,4027,705,2446,3823,579,313,1,0,10,298,499,248,281,618,441,787,529,194,136,116,2220,969,971,4431,17,47,462,332,320,1593,11436,1152,634,751,36,633,687,191,99,79,2120,744,25,840,3183,1448,7,14,76,93,1,0,149,366,48,39,811,115,3794,2388,253,191,1076,659,1521,1926
360,3578,10204,4191,3902,8452,3727,636,2454,3860,611,315,1,0,9,278,478,209,272,683,374,808,535,140,149,97,2194,865,973,4438,15,160,507,335,375,1536,11469,1110,692,694,38,638,687,200,90,74,2225,690,27,815,3193,1334,8,149,87,87,1,0,139,376,51,33,892,95,3880,2482,220,208,1089,540,1452,1869
327,3483,10118,4166,3878,8400,3726,740,2353,3746,731,316,1,0,7,307,437,193,372,641,354,713,495,124,171,89,2113,891,891,4403,14,27,397,301,296,1506,11343,1040,676,772,25,577,639,174,95,70,2254,797,28,763,3137,1282,6,86,90,142,1,0,165,354,48,15,817,41,3761,2358,239,294,1100,527,1433,1835
318,3541,9890,4439,3897,8247,4012,702,2405,3756,619,275,1,0,13,243,484,255,362,666,468,714,449,175,142,79,1872,851,831,4425,16,28,348,280,347,1331,11120,1069,674,651,38,548,606,173,95,73,2018,678,32,735,2936,1224,13,15,98,185,0,0,139,318,46,20,672,62,3659,2261,247,172,1063,513,1388,1764
394,3136,9371,4177,3482,8006,3827,738,2153,3329,612,294,1,0,19,295,495,294,247,516,499,665,491,137,112,78,1934,1004,798,4349,11,90,362,249,450,1390,10725,1165,711,657,46,571,621,191,86,63,2124,669,35,694,2875,1134,9,68,103,145,1,0,141,321,55,19,701,45,3269,2391,189,220,1027,495,1328,1752
339,3017,9127,4289,3416,7954,3977,605,2061,3229,526,269,1,0,19,308,411,198,211,411,390,687,407,149,169,100,1890,943,771,4260,5,90,341,249,381,1432,10626,1022,672,636,47,559,613,188,92,72,1973,572,29,699,2927,1165,5,3,124,186,3,0,132,327,50,22,610,41,3310,2322,180,207,1034,508,1351,1706
387,3019,8989,4350,3304,8118,3992,414,2159,3055,492,317,0,0,46,210,422,185,330,415,347,577,347,128,141,75,1882,880,765,4308,10,86,324,324,304,1277,10696,983,674,563,69,580,622,190,83,76,2117,574,30,742,2986,1142,78,4,103,164,1,0,148,311,56,20,680,41,3166,2304,203,225,1005,499,1208,1613
357,3096,9155,4214,3193,8149,4131,480,2114,3081,496,286,1,0,36,295,400,177,355,569,416,605,344,138,169,83,1728,864,772,3813,4,29,303,341,278,1199,10602,941,668,574,33,550,589,191,76,66,1992,787,33,683,2968,1119,5,6,91,171,1,0,141,283,51,21,664,89,3332,2222,239,179,1036,485,1268,1628
344,3010,9638,4212,3210,8225,4067,836,2187,3163,447,314,1,0,50,301,391,165,194,535,414,581,367,137,152,100,1938,937,843,4357,6,51,371,309,301,1523,10980,906,721,555,17,521,559,200,53,69,2057,668,53,666,2988,1094,5,2,109,163,1,0,152,293,52,15,627,42,3086,2143,196,127,1000,457,1274,1512
369,2810,9391,4144,3058,7950,4013,818,2017,3171,427,285,1,0,69,316,299,157,222,396,311,441,340,102,48,90,1723,841,730,4277,5,48,355,346,351,1255,10753,929,655,508,13,543,588,199,53,63,2108,680,41,656,2866,1025,5,3,86,117,1,0,170,252,55,20,619,40,3111,2273,171,102,1005,432,1180,1471
358,2786,9213,4064,3131,7829,3913,785,1977,3207,433,231,0,0,62,329,448,196,341,334,361,488,322,160,102,34,1754,850,763,4368,3,21,417,307,274,1339,10636,729,632,495,11,530,641,185,56,66,2073,795,38,660,2770,1039,6,8,30,141,2,0,189,289,58,21,578,42,2972,2092,189,109,1007,445,1282,1272
335,2862,9160,4042,3110,7738,4110,772,1816,3238,432,268,1,0,67,326,375,168,319,503,343,535,329,145,111,41,1608,823,712,4235,22,12,349,264,249,1281,10453,795,613,470,9,507,623,175,49,67,2060,652,40,626,2703,965,4,1,30,152,3,0,176,215,60,19,574,37,2788,2150,215,66,1037,437,1178,1296
374,2912,9135,4051,2973,7525,3977,725,1878,3202,459,292,1,0,62,319,473,169,207,542,332,542,330,135,77,32,1730,848,713,4304,25,14,302,279,257,1368,10539,771,611,537,9,516,563,179,56,62,2031,691,37,617,2706,958,4,1,25,56,0,0,153,213,53,18,554,21,2767,2083,184,63,1047,453,1164,1306
313,2728,8885,3774,2828,7492,3961,594,1754,3273,461,275,1,2,55,270,381,159,208,502,303,561,368,137,84,56,1727,870,706,4169,3,7,292,316,348,1273,10367,827,630,574,12,533,630,180,45,66,2009,879,43,629,2683,922,2,4,80,58,1,0,136,232,50,14,534,25,2986,2179,187,53,1004,422,1156,1259
336,2781,8781,3753,2656,7479,4135,658,1732,3137,420,230,1,0,55,142,347,170,242,534,314,509,298,119,64,72,1523,874,643,4095,7,25,299,285,264,1240,10259,764,640,473,9,523,610,195,52,63,1766,962,39,644,2713,934,2,2,54,46,1,0,138,229,49,18,523,27,3099,2161,154,49,949,436,1309,1219
357,2802,8385,3601,2579,7422,4084,389,1793,3115,433,269,1,0,53,245,361,300,347,502,259,484,263,139,77,36,1525,781,648,4089,2,6,279,326,229,1203,10146,700,585,439,12,484,531,177,53,63,2154,873,43,619,2633,881,2,1,31,41,5,0,135,189,38,15,494,25,3075,2481,163,42,941,450,1184,1192
354,2641,8569,3698,2654,7535,3622,400,2047,3006,438,282,1,0,54,266,360,285,249,348,286,598,281,142,93,28,1545,810,656,4025,3,7,258,244,313,1134,9970,787,579,612,10,495,560,183,59,60,1738,772,43,587,2704,895,2,1,20,32,1,0,127,177,55,19,523,32,2869,1997,154,118,937,424,1151,1188
328,2665,8794,3504,2533,7361,3694,524,1845,3188,395,283,0,0,52,142,354,232,235,406,350,512,277,169,70,28,1681,784,718,3989,4,6,256,240,323,1050,10075,744,584,653,11,489,591,186,55,57,1733,587,31,599,2690,843,2,1,23,40,1,0,127,187,47,19,522,25,2781,1996,175,33,936,424,1261,1198
478,2590,8275,3460,2440,7051,3678,565,1746,2993,410,331,0,0,43,151,369,180,479,363,294,495,285,173,82,23,1713,753,708,3988,6,6,256,330,245,1034,9797,697,575,589,12,459,592,172,60,65,1872,681,20,605,2635,836,3,2,18,44,0,0,143,206,46,21,492,25,2918,2092,178,35,942,381,1136,1177
918,2557,8314,3332,2475,7138,3572,950,1704,2947,365,292,1,0,28,175,323,131,823,421,258,504,364,105,76,30,1675,832,666,3953,10,9,289,360,205,1038,9859,615,550,584,11,464,580,160,48,66,1652,838,20,543,2631,810,3,4,19,78,0,0,150,244,38,16,470,26,2990,1816,147,43,908,342,1087,1148
875,2520,8233,3336,2584,7262,3418,875,1716,2776,535,328,1,0,26,152,337,247,647,314,448,521,402,89,61,34,1833,896,624,3836,5,7,385,229,358,1034,9741,729,680,677,11,454,637,173,50,64,1769,765,20,554,2594,818,4,9,50,65,1,0,121,222,43,23,472,22,2946,2043,201,105,912,378,1129,1223
391,2655,8229,3408,2651,7309,3528,418,1731,2824,470,295,1,0,13,181,362,247,261,435,352,476,333,85,167,51,1658,666,602,3814,6,7,386,236,381,1109,9700,790,675,564,11,435,574,188,56,63,1778,678,20,582,2674,805,2,8,63,158,2,0,118,235,54,18,422,17,2897,2058,247,50,903,348,1135,1186
449,2720,8200,3435,2600,7205,3568,434,1675,2851,427,279,1,0,10,152,514,165,437,412,283,368,288,100,161,43,1645,659,564,3813,6,10,314,223,351,945,9554,675,552,553,11,396,544,172,53,61,1812,554,21,578,2681,843,2,4,39,175,1,0,118,237,56,18,398,20,2685,2072,214,43,873,332,1129,1193
450,2899,8183,3423,2740,7169,3521,383,1783,2847,414,290,0,0,11,204,377,167,310,469,251,456,250,70,164,28,1606,640,607,3846,8,11,376,247,245,1037,9614,691,525,476,12,383,516,166,50,60,1831,498,22,596,2605,855,2,3,25,184,0,0,133,342,55,28,360,27,2673,2070,193,49,870,321,1172,1259
803,2888,8221,3653,2920,7186,3439,746,2002,2879,464,291,1,0,13,248,330,139,570,310,445,482,214,104,128,93,1742,655,690,3794,17,19,350,275,238,1143,9715,734,562,481,12,393,503,175,55,65,1827,481,21,627,2690,797,2,4,52,138,0,0,112,330,47,107,536,104,2820,2023,176,118,875,331,1100,1320
1151,3262,8366,3954,3282,7334,3620,1077,2085,2837,511,278,0,0,10,177,322,146,954,340,310,398,211,97,79,77,1709,713,746,3891,35,27,392,275,176,1134,9962,720,600,487,17,403,493,230,51,68,1906,477,25,688,2772,923,3,8,70,61,0,0,128,378,56,91,494,88,2916,2025,210,160,880,370,1091,1398
747,3442,8572,4149,3671,7312,3540,678,2206,3073,464,288,0,0,5,164,311,148,718,260,458,474,271,110,116,125,1710,653,804,3936,6,16,429,273,348,983,10024,812,556,494,18,422,555,221,55,64,1821,483,21,733,2821,1090,3,16,51,82,3,0,138,485,53,82,410,60,2873,2020,181,120,877,356,1206,1460
341,3929,8610,4245,4000,7609,3724,272,2447,2995,469,254,1,0,5,171,319,181,303,378,405,455,258,84,94,133,1707,684,977,3951,2,12,490,240,190,1117,10062,777,534,527,32,402,525,197,48,59,1804,527,27,932,2883,1125,3,38,46,67,0,0,143,523,64,78,404,65,2940,1963,186,65,849,341,1202,1534
549,4100,8723,4446,4449,7678,3514,502,2548,2946,480,263,0,0,4,160,306,177,391,321,394,551,301,90,99,79,1848,740,976,4134,3,21,514,271,179,1203,10358,864,540,512,31,417,492,192,50,63,1766,438,28,978,2926,1269,5,8,67,66,0,0,148,529,59,58,453,55,2827,1796,167,77,823,327,1076,1513
902,4275,8974,4836,5106,8172,3647,894,2596,2956,449,282,1,0,5,166,255,173,1070,351,361,552,355,106,94,65,1817,716,982,4046,15,17,608,247,122,1128,10406,981,526,538,25,397,499,175,59,62,1837,478,24,959,3152,1538,7,2,97,70,0,0,149,540,51,70,436,63,3008,1962,171,79,850,334,1150,1661
1126,4595,9191,5299,5631,8316,3866,1081,2679,3097,499,267,1,0,5,195,260,177,1061,378,423,523,330,92,108,92,1849,737,1078,4109,11,19,656,306,186,1191,10518,958,532,623,29,393,493,179,59,61,1809,734,23,1083,3119,1646,7,49,93,71,0,0,158,558,60,65,406,57,3241,1972,169,118,905,319,1193,1697
811,4825,9250,5341,5807,8369,3834,741,2885,3195,506,274,0,0,4,203,257,233,1034,521,425,741,357,100,114,65,1730,720,1125,3905,17,18,809,377,246,1496,10534,1254,542,617,30,387,473,175,61,67,1778,770,22,1159,3231,1786,13,10,104,73,1,0,174,614,70,48,407,45,3354,1896,191,133,862,338,1179,1629
871,5131,9293,5800,6489,8489,3907,786,2999,3198,486,256,1,0,6,179,297,203,972,500,417,689,386,126,381,69,1722,754,1172,3943,7,15,880,294,258,1569,10610,1290,599,630,33,442,500,188,66,67,1806,985,84,1215,3418,2112,11,17,111,346,0,0,180,574,58,72,457,77,3720,1838,166,154,890,362,1164,1687
1167,5385,9656,6476,7015,8800,4351,1097,3309,3570,550,257,1,0,6,212,325,257,1190,387,469,879,523,137,333,180,1892,782,1252,4247,7,16,943,351,368,1587,11075,1672,638,844,33,482,547,205,67,72,2233,1112,77,1283,3523,2161,7,11,229,305,1,0,158,650,50,109,432,159,3961,2083,238,178,916,409,1160,1806
1056,5492,10005,6216,7051,9158,4169,998,3290,3572,495,262,1,0,5,195,525,228,1377,367,376,915,435,110,175,116,1826,706,1314,4090,39,22,981,328,307,1687,11221,1670,595,959,55,570,576,168,69,78,2313,872,74,1341,3618,2293,8,33,164,102,0,0,200,675,51,120,511,139,3993,2185,194,178,926,570,1154,1962
1652,5646,10261,6084,7157,9391,3963,1543,3434,3673,522,249,1,0,5,189,516,368,2063,390,467,853,490,130,224,133,1825,814,1458,4126,17,31,867,354,308,1570,11518,1473,641,1059,38,697,740,181,96,76,2240,812,45,1417,3735,2389,9,147,187,139,1,0,228,657,63,127,611,167,3965,2157,193,168,980,657,1215,2046
1460,5775,10542,6578,7556,9606,4067,1388,3653,3786,602,263,2,0,7,219,588,290,1647,335,515,957,523,167,240,131,2024,940,1563,4310,7,23,892,363,394,1542,11604,1717,661,1175,32,835,844,208,97,83,2400,828,32,1482,3808,2530,11,185,215,165,1,0,237,693,71,124,607,151,4016,2179,185,206,977,657,1288,2050
936,6280,10545,6659,8113,9717,4190,844,3659,3796,587,286,3,0,6,314,512,328,1173,429,588,1042,686,284,203,187,2133,973,1608,4400,23,35,967,433,345,1783,11911,1590,672,1071,54,1008,1008,237,104,71,2291,936,36,1612,3974,2728,18,204,243,115,2,1,235,728,75,158,669,184,4189,2040,263,181,1018,833,1443,2011
565,6367,11077,6721,8284,10158,4224,519,3842,4000,638,296,3,0,9,263,589,364,909,486,699,1275,731,313,270,135,2179,971,1511,4626,35,29,1068,418,420,1978,12485,1786,659,1187,53,1083,1084,231,98,83,2426,927,39,1660,4037,2895,40,236,313,181,1,1,253,754,81,138,747,171,4230,2134,368,167,1125,965,1451,2243
558,6675,11154,7081,8635,10160,4485,497,3750,4069,690,296,2,0,10,267,570,351,795,540,711,1295,665,229,348,295,2249,1079,1590,4621,33,92,1209,474,358,2211,12836,1822,725,1273,60,1114,1161,237,138,90,2531,739,36,1627,4163,3107,44,375,365,219,8,0,230,724,80,165,824,164,4110,2107,296,183,1185,898,1239,2375
966,6671,11347,6850,8336,10488,4567,789,3802,4078,682,286,2,0,58,326,474,337,1159,396,605,1191,622,216,219,325,2215,1091,1685,4602,73,34,1152,439,340,2121,12923,1889,749,1182,57,1092,1107,261,121,98,2122,878,38,1601,4201,3055,29,122,348,147,38,1,241,725,85,150,756,135,4572,1728,274,218,1159,926,1246,2338
998,6825,11294,6748,8403,10255,4351,903,3796,3953,719,295,3,0,18,366,490,329,1843,439,779,1358,727,240,246,255,2275,1101,1777,4555,81,37,1091,409,405,1949,12665,1558,808,1199,85,1127,1183,243,102,82,2177,770,44,1704,4127,3039,22,199,214,138,2,0,258,761,79,160,758,136,4285,1786,263,254,1119,898,1354,2268
667,6928,11237,7058,8673,10242,4358,564,3845,3857,830,348,2,0,14,417,601,435,1138,523,608,1446,741,295,448,186,2383,1018,1633,4631,110,47,1034,508,251,1977,12604,1510,813,1320,67,1288,1347,264,106,94,2170,765,35,1733,4047,3177,41,437,169,292,4,0,235,772,77,170,790,215,4152,1793,237,321,1136,1040,1378,2308
670,6988,11783,7134,8661,10670,4381,623,4017,3999,797,288,2,0,11,360,741,472,861,612,762,1380,717,261,295,176,2298,1238,1805,4761,72,65,980,411,362,2007,13110,1539,844,1395,56,1478,1484,279,125,97,2304,1031,42,1798,4193,3215,33,381,139,188,2,0,241,759,80,123,810,232,4270,1929,221,220,1157,1062,1377,2305
999,6871,11822,7104,8483,10666,4339,941,4126,4066,797,300,2,0,17,381,876,443,1209,629,846,1279,762,262,207,147,2336,1395,1982,4783,106,45,1004,409,366,2080,13158,1529,1011,1393,47,1498,1514,277,118,93,2296,794,37,1836,4226,3094,15,317,118,141,3,0,193,758,65,75,952,170,4179,1778,203,221,1159,1108,1366,2232
1102,6841,11836,6983,8517,10806,4468,1080,4097,4158,758,262,2,0,32,343,778,437,1338,567,887,1307,781,293,245,178,2400,1418,1942,5003,106,45,1220,385,476,2222,13345,1716,1034,1443,55,1484,1559,273,108,88,2365,882,40,1821,4291,3166,12,127,180,169,2,2,215,792,56,87,958,145,4289,1779,222,238,1237,1151,1369,2294
716,6903,12155,7217,8844,11122,4449,713,4271,4341,778,251,1,0,59,370,806,405,1225,518,663,1364,820,240,266,171,2402,1176,1957,4959,33,53,1103,456,448,2285,13510,1546,966,1626,50,1437,1576,268,107,95,2329,904,47,1852,4387,3277,17,24,134,205,2,1,214,817,69,60,979,104,4727,1838,303,232,1256,1123,1579,2221
820,6998,12025,7200,8756,11263,4532,640,4384,4258,716,295,1,0,60,370,906,366,1268,551,704,1447,853,243,257,215,2258,1396,2078,4894,40,48,1131,409,417,2507,13634,1611,943,1629,50,1381,1543,245,99,100,2333,1293,52,1834,4546,3233,49,81,252,241,4,1,229,798,66,56,1342,152,4910,1891,243,239,1284,1171,1407,2340
