from,to,cost
1,17,303.5
1,18,303.5
2,17,303.5
2,18,303.5
1,19,263.5
1,20,263.5
2,19,263.5
2,20,263.5
3,1,350.5
3,2,350.5
4,1,350.5
4,2,350.5
3,8,1850
3,7,1850
4,8,1850
4,7,1850
3,6,204
3,5,204
4,6,204
4,5,204
3,10,218.75
3,9,218.75
4,10,218.75
4,9,218.75
3,32,421.5
3,31,421.5
4,32,421.5
4,31,421.5
3,27,269
3,28,269
4,27,269
4,28,269
3,33,279
3,34,279
4,33,279
4,34,279
3,35,239
3,36,239
4,35,239
4,36,239
3,37,445.5
3,38,445.5
4,37,445.5
4,38,445.5
3,29,598
3,30,598
4,29,598
4,30,598
3,22,252.25
3,21,252.25
4,22,252.25
4,21,252.25
37,68,490.25
37,67,490.25
38,68,490.25
38,67,490.25
37,3,445.5
37,4,445.5
38,3,445.5
38,4,445.5
37,32,568
37,31,568
38,32,568
38,31,568
37,27,415.5
37,28,415.5
38,27,415.5
38,28,415.5
37,33,425.5
37,34,425.5
38,33,425.5
38,34,425.5
37,29,744.5
37,30,744.5
38,29,744.5
38,30,744.5
37,22,398.75
37,21,398.75
38,22,398.75
38,21,398.75
37,35,385.5
37,36,385.5
38,35,385.5
38,36,385.5
22,37,398.75
22,38,398.75
21,37,398.75
21,38,398.75
22,3,252.25
22,4,252.25
21,3,252.25
21,4,252.25
22,32,374.75
22,31,374.75
21,32,374.75
21,31,374.75
22,27,222.25
22,28,222.25
21,27,222.25
21,28,222.25
22,33,232.25
22,34,232.25
21,33,232.25
21,34,232.25
22,29,551.25
22,30,551.25
21,29,551.25
21,30,551.25
22,35,192.25
22,36,192.25
21,35,192.25
21,36,192.25
22,26,175.25
22,25,175.25
21,26,175.25
21,25,175.25
22,23,180
22,24,180
21,23,180
21,24,180
22,68,297
22,67,297
21,68,297
21,67,297
68,37,490.25
68,38,490.25
67,37,490.25
67,38,490.25
68,23,271.5
68,24,271.5
67,23,271.5
67,24,271.5
23,68,271.5
23,67,271.5
24,68,271.5
24,67,271.5
23,22,180
23,21,180
24,22,180
24,21,180
23,26,149.75
23,25,149.75
24,26,149.75
24,25,149.75
26,55,113.25
26,56,113.25
25,55,113.25
25,56,113.25
26,22,175.25
26,21,175.25
25,22,175.25
25,21,175.25
26,23,149.75
26,24,149.75
25,23,149.75
25,24,149.75
35,64,179.25
35,63,179.25
36,64,179.25
36,63,179.25
35,15,131.75
35,16,131.75
36,15,131.75
36,16,131.75
35,62,913.5
35,61,913.5
36,62,913.5
36,61,913.5
35,3,239
35,4,239
36,3,239
36,4,239
35,37,385.5
35,38,385.5
36,37,385.5
36,38,385.5
35,22,192.25
35,21,192.25
36,22,192.25
36,21,192.25
35,29,538
35,30,538
36,29,538
36,30,538
35,33,219
35,34,219
36,33,219
36,34,219
35,27,209
35,28,209
36,27,209
36,28,209
35,32,361.5
35,31,361.5
36,32,361.5
36,31,361.5
29,49,811.75
29,50,811.75
30,49,811.75
30,50,811.75
29,33,578
29,34,578
30,33,578
30,34,578
29,27,568
29,28,568
30,27,568
30,28,568
29,32,720.5
29,31,720.5
30,32,720.5
30,31,720.5
29,3,598
29,4,598
30,3,598
30,4,598
29,37,744.5
29,38,744.5
30,37,744.5
30,38,744.5
29,35,538
29,36,538
30,35,538
30,36,538
29,22,551.25
29,21,551.25
30,22,551.25
30,21,551.25
33,27,249
33,28,249
34,27,249
34,28,249
33,32,401.5
33,31,401.5
34,32,401.5
34,31,401.5
33,3,279
33,4,279
34,3,279
34,4,279
33,37,425.5
33,38,425.5
34,37,425.5
34,38,425.5
33,35,219
33,36,219
34,35,219
34,36,219
33,22,232.25
33,21,232.25
34,22,232.25
34,21,232.25
33,29,578
33,30,578
34,29,578
34,30,578
33,49,492.75
33,50,492.75
34,49,492.75
34,50,492.75
33,19,192
33,20,192
34,19,192
34,20,192
33,60,794
33,59,794
34,60,794
34,59,794
33,41,426.75
33,42,426.75
34,41,426.75
34,42,426.75
27,32,391.5
27,31,391.5
28,32,391.5
28,31,391.5
27,3,269
27,4,269
28,3,269
28,4,269
27,37,415.5
27,38,415.5
28,37,415.5
28,38,415.5
27,35,209
27,36,209
28,35,209
28,36,209
27,22,222.25
27,21,222.25
28,22,222.25
28,21,222.25
27,29,568
27,30,568
28,29,568
28,30,568
27,33,249
27,34,249
28,33,249
28,34,249
27,17,222
27,18,222
28,17,222
28,18,222
27,48,205.25
27,47,205.25
28,48,205.25
28,47,205.25
27,40,383
27,39,383
28,40,383
28,39,383
27,45,191.25
27,46,191.25
28,45,191.25
28,46,191.25
27,12,185.5
27,11,185.5
28,12,185.5
28,11,185.5
32,58,387.75
32,57,387.75
31,58,387.75
31,57,387.75
32,3,421.5
32,4,421.5
31,3,421.5
31,4,421.5
32,37,568
32,38,568
31,37,568
31,38,568
32,35,361.5
32,36,361.5
31,35,361.5
31,36,361.5
32,22,374.75
32,21,374.75
31,22,374.75
31,21,374.75
32,29,720.5
32,30,720.5
31,29,720.5
31,30,720.5
32,33,401.5
32,34,401.5
31,33,401.5
31,34,401.5
32,27,391.5
32,28,391.5
31,27,391.5
31,28,391.5
49,29,811.75
49,30,811.75
50,29,811.75
50,30,811.75
49,19,425.75
49,20,425.75
50,19,425.75
50,20,425.75
49,41,660.5
49,42,660.5
50,41,660.5
50,42,660.5
49,60,1027.75
49,59,1027.75
50,60,1027.75
50,59,1027.75
49,33,492.75
49,34,492.75
50,33,492.75
50,34,492.75
19,60,727
19,59,727
20,60,727
20,59,727
19,41,359.75
19,42,359.75
20,41,359.75
20,42,359.75
19,49,425.75
19,50,425.75
20,49,425.75
20,50,425.75
19,17,165
19,18,165
20,17,165
20,18,165
19,1,263.5
19,2,263.5
20,1,263.5
20,2,263.5
19,33,192
19,34,192
20,33,192
20,34,192
17,19,165
17,20,165
18,19,165
18,20,165
17,1,303.5
17,2,303.5
18,1,303.5
18,2,303.5
17,48,188.25
17,47,188.25
18,48,188.25
18,47,188.25
17,40,366
17,39,366
18,40,366
18,39,366
17,45,174.25
17,46,174.25
18,45,174.25
18,46,174.25
17,12,168.5
17,11,168.5
18,12,168.5
18,11,168.5
17,41,399.75
17,42,399.75
18,41,399.75
18,42,399.75
40,17,366
40,18,366
39,17,366
39,18,366
40,48,349.25
40,47,349.25
39,48,349.25
39,47,349.25
40,44,389.25
40,43,389.25
39,44,389.25
39,43,389.25
40,45,335.25
40,46,335.25
39,45,335.25
39,46,335.25
40,12,329.5
40,11,329.5
39,12,329.5
39,11,329.5
40,41,560.75
40,42,560.75
39,41,560.75
39,42,560.75
40,27,383
40,28,383
39,27,383
39,28,383
45,14,118.25
45,13,118.25
46,14,118.25
46,13,118.25
45,40,335.25
45,39,335.25
46,40,335.25
46,39,335.25
45,48,157.5
45,47,157.5
46,48,157.5
46,47,157.5
45,17,174.25
45,18,174.25
46,17,174.25
46,18,174.25
45,27,191.25
45,28,191.25
46,27,191.25
46,28,191.25
12,45,137.75
12,46,137.75
11,45,137.75
11,46,137.75
12,40,329.5
12,39,329.5
11,40,329.5
11,39,329.5
12,48,151.75
12,47,151.75
11,48,151.75
11,47,151.75
12,17,168.5
12,18,168.5
11,17,168.5
11,18,168.5
12,27,185.5
12,28,185.5
11,27,185.5
11,28,185.5
12,14,112.5
12,13,112.5
11,14,112.5
11,13,112.5
12,15,108.25
12,16,108.25
11,15,108.25
11,16,108.25
41,19,359.75
41,20,359.75
42,19,359.75
42,20,359.75
41,33,426.75
41,34,426.75
42,33,426.75
42,34,426.75
41,49,660.5
41,50,660.5
42,49,660.5
42,50,660.5
41,60,961.75
41,59,961.75
42,60,961.75
42,59,961.75
41,40,560.75
41,39,560.75
42,40,560.75
42,39,560.75
41,44,423
41,43,423
42,44,423
42,43,423
44,70,522.75
44,69,522.75
43,70,522.75
43,69,522.75
44,40,389.25
44,39,389.25
43,40,389.25
43,39,389.25
44,41,423
44,42,423
43,41,423
43,42,423
64,65,1483.5
64,66,1483.5
63,65,1483.5
63,66,1483.5
64,58,205.5
64,57,205.5
63,58,205.5
63,57,205.5
64,48,175.5
64,47,175.5
63,48,175.5
63,47,175.5
64,70,486.75
64,69,486.75
63,70,486.75
63,69,486.75
64,15,132
64,16,132
63,15,132
63,16,132
64,62,913.75
64,61,913.75
63,62,913.75
63,61,913.75
64,35,179.25
64,36,179.25
63,35,179.25
63,36,179.25
14,45,118.25
14,46,118.25
13,45,118.25
13,46,118.25
14,12,112.5
14,11,112.5
13,12,112.5
13,11,112.5
14,15,88.75
14,16,88.75
13,15,88.75
13,16,88.75
15,14,88.75
15,13,88.75
16,14,88.75
16,13,88.75
15,12,108.25
15,11,108.25
16,12,108.25
16,11,108.25
15,64,132
15,63,132
16,64,132
16,63,132
15,62,866.25
15,61,866.25
16,62,866.25
16,61,866.25
15,35,131.75
15,36,131.75
16,35,131.75
16,36,131.75
62,60,1488.5
62,59,1488.5
61,60,1488.5
61,59,1488.5
62,15,866.25
62,16,866.25
61,15,866.25
61,16,866.25
62,64,913.75
62,63,913.75
61,64,913.75
61,63,913.75
62,35,913.5
62,36,913.5
61,35,913.5
61,36,913.5
60,62,1488.5
60,61,1488.5
59,62,1488.5
59,61,1488.5
60,41,961.75
60,42,961.75
59,41,961.75
59,42,961.75
60,33,794
60,34,794
59,33,794
59,34,794
60,19,727
60,20,727
59,19,727
59,20,727
60,49,1027.75
60,50,1027.75
59,49,1027.75
59,50,1027.75
71,37,652.5
71,38,652.5
72,37,652.5
72,38,652.5
71,68,550.75
71,67,550.75
72,68,550.75
72,67,550.75
71,65,1750.25
71,66,1750.25
72,65,1750.25
72,66,1750.25
71,58,472.25
71,57,472.25
72,58,472.25
72,57,472.25
71,48,442.25
71,47,442.25
72,48,442.25
72,47,442.25
71,70,753.5
71,69,753.5
72,70,753.5
72,69,753.5
71,64,446.25
71,63,446.25
72,64,446.25
72,63,446.25
